variant,config_n,config_p,config,n_instances,n_optimal,proven_optimal_rate,median_par2_s,median_failures,median_propagations,median_avg_lbd,median_nogood_length,median_wall_time_s,median_avg_depth_at_failure,median_circuit_conflict_rate,median_avg_hall_set_size_v1,median_avg_hall_set_size_conflict_v2,median_avg_tight_hall_set_size_v2,median_avg_tight_hall_set_size_v3,median_hall_circuit_fire_rate_v3,median_gac_pruning_rate_v3,median_alldiff_pruning_rate_v2,median_avg_vars_involved_per_pruning_v2,median_avg_scc_size_when_pruning_v2
V0,20,5,"n=20, p=5",20,0,0.0,0.415,,,,,,,,,,,,,,,,
V0,20,10,"n=20, p=10",20,0,0.0,6.6,,,,,,,,,,,,,,,,
V0,20,15,"n=20, p=15",20,3,0.15,0.47,12.0,2602.0,2.0,2.5833,0.23,19.2249,0.1026,,,,,,,,,
V0,50,5,"n=50, p=5",20,0,0.0,3.675,,,,,,,,,,,,,,,,
V0,50,10,"n=50, p=10",20,5,0.25,600.0,20410.0,12035679.0,9.3173,26.1477,7.33,39.9325,0.0093,,,,,,,,,
V0,50,15,"n=50, p=15",20,6,0.3,600.0,13541.0,6790889.5,14.2991,37.359,8.815,42.7145,0.0099,,,,,,,,,
V0,100,5,"n=100, p=5",20,0,0.0,600.0,,,,,,,,,,,,,,,,
V0,100,10,"n=100, p=10",20,0,0.0,600.0,,,,,,,,,,,,,,,,
V0,100,15,"n=100, p=15",20,2,0.1,600.0,135788.0,125064641.5,29.3905,57.6542,105.395,93.5929,0.0146,,,,,,,,,
V0,150,5,"n=150, p=5",20,0,0.0,600.0,,,,,,,,,,,,,,,,
V0,150,10,"n=150, p=10",20,0,0.0,600.0,,,,,,,,,,,,,,,,
V0,150,15,"n=150, p=15",20,0,0.0,600.0,,,,,,,,,,,,,,,,
V1,20,5,"n=20, p=5",20,0,0.0,4.935,,,,,,,,,,,,,,,,
V1,20,10,"n=20, p=10",20,0,0.0,6.025,,,,,,,,,,,,,,,,
V1,20,15,"n=20, p=15",20,3,0.15,2.105,44.0,1891.0,2.2683,2.4634,2.11,16.1667,0.0079,3.5176,,,,,,,,
V1,50,5,"n=50, p=5",20,0,0.0,7.345,,,,,,,,,,,,,,,,
V1,50,10,"n=50, p=10",20,15,0.75,4.265,276.0,23306.0,5.8158,7.8411,4.32,42.5,0.0024,6.3125,,,,,,,,
V1,50,15,"n=50, p=15",20,20,1.0,1.72,584.0,66192.5,6.4187,10.8534,1.72,44.1154,0.0022,5.2442,,,,,,,,
V1,100,5,"n=100, p=5",20,4,0.2,0.46,680.5,81319.5,12.7866,18.3913,3.165,89.3899,0.0015,11.8474,,,,,,,,
V1,100,10,"n=100, p=10",20,18,0.9,3.045,2422.5,409917.0,15.2554,30.4981,2.955,92.6973,0.0015,10.2253,,,,,,,,
V1,100,15,"n=100, p=15",20,20,1.0,5.42,3721.5,892461.0,13.3414,31.5863,5.42,94.5525,0.001,5.9539,,,,,,,,
V1,150,5,"n=150, p=5",19,14,0.7368,6.07,2441.0,413564.0,21.0165,36.232,5.99,139.3777,0.0014,13.13,,,,,,,,
V1,150,10,"n=150, p=10",20,15,0.75,23.13,5985.0,1744745.0,23.7357,48.3495,19.1,144.0028,0.001,10.2949,,,,,,,,
V1,150,15,"n=150, p=15",20,11,0.55,90.455,17571.0,4169894.0,34.741,65.6568,38.61,143.8931,0.0006,8.4049,,,,,,,,
V2,20,5,"n=20, p=5",20,0,0.0,3.965,,,,,,,,,,,,,,,,
V2,20,10,"n=20, p=10",20,0,0.0,2.75,,,,,,,,,,,,,,,,
V2,20,15,"n=20, p=15",20,3,0.15,0.56,0.0,395.0,0.0,0.0,0.57,19.0,0.0,,2.0,5.3659,,,,0.5726,5.75,10.5
V2,50,5,"n=50, p=5",20,0,0.0,3.85,,,,,,,,,,,,,,,,
V2,50,10,"n=50, p=10",20,15,0.75,0.23,5.0,5354.0,10.625,25.0,0.23,44.5,0.0249,,4.9167,7.8863,,,,0.5347,5.3331,15.2891
V2,50,15,"n=50, p=15",20,20,1.0,6.125,14.5,22490.5,15.3772,36.7795,6.125,45.8005,0.0181,,3.2142,5.463,,,,0.5167,5.5676,11.7579
V2,100,5,"n=100, p=5",20,4,0.2,4.675,6.5,16611.5,21.5557,34.6429,2.72,88.8375,0.0172,,7.2625,15.6714,,,,0.521,5.1956,31.1774
V2,100,10,"n=100, p=10",20,20,1.0,4.14,52.5,146679.5,36.7133,71.7525,4.14,96.2083,0.0155,,2.941,6.9171,,,,0.511,6.4933,13.0884
V2,100,15,"n=100, p=15",20,20,1.0,1.86,81.0,298247.5,40.9182,80.9369,1.86,96.5112,0.0118,,2.7877,3.2764,,,,0.5074,7.9625,6.8268
V2,150,5,"n=150, p=5",20,18,0.9,2.08,53.0,98423.0,47.4011,93.8204,2.2,145.5263,0.0132,,3.414,11.8806,,,,0.5125,6.521,26.2522
V2,150,10,"n=150, p=10",20,20,1.0,6.835,135.5,494022.0,64.1806,109.4909,6.835,145.7447,0.0086,,2.7313,4.3939,,,,0.5061,8.3054,8.5591
V2,150,15,"n=150, p=15",20,20,1.0,7.34,223.5,1166852.0,63.2974,125.0672,7.34,146.3592,0.0073,,2.7545,2.8084,,,,0.5051,10.3329,6.5576
V3,20,5,"n=20, p=5",20,0,0.0,4.11,,,,,,,,,,,,,,,,
V3,20,10,"n=20, p=10",20,0,0.0,1.74,,,,,,,,,,,,,,,,
V3,20,15,"n=20, p=15",20,3,0.15,0.755,0.0,392.0,0.0,0.0,0.92,19.25,0.0,,,,5.3659,0.0,0.5,,,
V3,50,5,"n=50, p=5",20,0,0.0,8.375,,,,,,,,,,,,,,,,
V3,50,10,"n=50, p=10",20,15,0.75,1.905,5.0,5233.0,10.625,25.5,1.41,45.0333,0.0049,,,,7.8631,0.0,0.5026,,,
V3,50,15,"n=50, p=15",20,20,1.0,2.425,14.5,21959.0,15.2917,37.2667,2.425,46.9167,0.0057,,,,4.7287,0.0011,0.4897,,,
V3,100,5,"n=100, p=5",20,4,0.2,7.71,6.0,16219.0,20.9143,33.8857,8.07,92.786,0.0053,,,,15.6643,0.0,0.4927,,,
V3,100,10,"n=100, p=10",20,20,1.0,1.85,52.5,143104.0,34.1136,67.5507,1.85,95.9028,0.0044,,,,6.912,0.0,0.4949,,,
V3,100,15,"n=100, p=15",20,20,1.0,9.31,81.0,292568.5,37.1213,76.3083,9.31,96.7566,0.0034,,,,3.1396,0.0,0.4949,,,
V3,150,5,"n=150, p=5",20,18,0.9,4.335,53.0,95875.0,45.5898,89.4082,4.335,146.0055,0.0048,,,,11.8818,0.0,0.4955,,,
V3,150,10,"n=150, p=10",20,20,1.0,7.47,136.0,484250.5,59.6146,104.8166,7.47,146.0973,0.0026,,,,4.3942,0.0,0.4949,,,
V3,150,15,"n=150, p=15",20,20,1.0,14.89,221.5,1146036.0,58.8693,120.4081,14.89,145.618,0.0023,,,,2.8086,0.0001,0.496,,,
